,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.143,6.84,16.277,3.508,1.456,176.89,56201317.0,0.0,174.60743648960735,174.38396254312468,0.22347394648267027,0.14653724162277285,0.15387340971979485,100.0,100.0,93.21430962903436,94.1371230444997,91.36868279810369,120108747.0,inf,inf,0.039233421900616294,0.0018123123973494693
2018-05-04,0.143,6.84,16.277,3.508,1.456,183.83,42451423.0,0.0,177.51863936781606,177.02466182820135,0.49397753961471835,0.2642338195333235,0.45948744016278975,100.0,100.0,95.11379482600695,94.54281747681809,96.2557495243847,154176927.0,inf,inf,0.007234945329924303,0.039233421900616294
2018-05-07,0.143,6.84,16.277,3.508,1.456,185.16,28402777.0,0.0,179.5947697415359,178.9112803052485,0.6834894362874024,0.38895288686854446,0.589073098837716,100.0,100.0,92.68795923606388,93.83076289150485,90.40235192518193,210378244.0,inf,inf,0.004806653704903852,0.007234945329924303
2018-05-08,0.143,6.84,16.277,3.508,1.456,186.05,23211241.0,0.0,181.1637303027446,180.34110892372146,0.8226213790231327,0.5065011597441701,0.6322404385579252,100.0,100.0,92.71715501253124,93.42383550114307,91.30379403530756,252829667.0,4.95574068270927,4.95574068270927,0.0070411179790379474,0.004806653704903852
2018-05-09,0.143,6.84,16.277,3.508,1.456,187.36,27989289.0,0.0,182.54640620659373,181.5893823166708,0.9570238899229366,0.6205164438996459,0.6730148920465815,100.0,100.0,94.8056980272439,93.913091344527,96.5909113926777,281232444.0,5.624806051848957,5.624806051848957,0.014304013663535287,0.0070411179790379474
2018-05-10,0.143,6.84,16.277,3.508,1.456,190.04,26212221.0,0.0,184.11020373172107,182.95098621761295,1.1592175141081213,0.7499764413466131,0.8184821455230165,100.0,100.0,96.15139188434131,94.68948520346021,99.07520524610351,304443685.0,6.1715778526434795,6.1715778526434795,-0.007629972637339444,0.014304013663535287
2018-05-11,0.143,6.84,16.277,3.508,1.456,188.59,20778772.0,0.0,184.99646688285918,183.7868118530772,1.2096550297819704,0.8561644757524174,0.706981108059106,100.0,100.0,95.04151293569606,94.80996164971755,95.50461550765309,332432974.0,6.83090295936605,6.83090295936605,-0.002333103557982885,-0.007629972637339444
2018-05-14,0.143,6.84,16.277,3.508,1.456,188.15,23695159.0,0.0,185.59406018295437,184.38888935180412,1.205170831150241,0.934362159152657,0.5416173439951679,90.28150134048263,93.52389459580175,92.17879582984796,93.9174284858659,88.70153051781207,306220753.0,4.223218199721529,4.223218199721529,-0.009088493223491922,-0.002333103557982885
2018-05-15,0.143,6.84,16.277,3.508,1.456,186.44,19183064.0,0.0,185.74884677242406,184.65491905266794,1.093927719756124,0.9692741920652823,0.24930705538168318,87.43351063829795,91.72141918528258,86.49612076414934,91.41472544553076,76.65891140138649,285441981.0,3.2421032879970504,3.2421032879970504,0.009332761210040896,-0.009088493223491922
2018-05-16,0.143,6.84,16.277,3.508,1.456,188.18,17294029.0,17.340000000000003,186.1810978351524,185.08803078967384,1.0930670454785627,0.9958597053066427,0.19441468034384002,63.302752293577946,85.33007334963327,85.0022938435077,89.26064600796414,76.48558951459484,261746822.0,2.0895991009176216,2.5630879131004884,-0.006323732596450249,0.009332761210040896
