,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.029,5.632,38.624,1.774,1.363,143.78,4677684.0,0.0,143.98526558891456,144.00375554460322,-0.01848995568866485,-0.011697228581930234,-0.013585454213469232,0.0,0.0,70.08037246380556,77.42107826441665,55.39896086258338,366553.0,1.0790451177774476,1.0790451177774476,0.018013631937682684,-0.0005560962046434748
2018-05-04,0.029,5.632,38.624,1.774,1.363,146.37,6844614.0,0.0,144.738033045977,144.66525409044428,0.07277895553272629,0.016919364952845007,0.11171918115976257,0.0,0.0,78.74065614153591,77.96921061337389,80.28354719785995,-7335116.0,2.7398672449675594,2.7398672449675594,0.023570403771264514,0.018013631937682684
2018-05-07,0.029,5.632,38.624,1.774,1.363,149.82,3851839.0,0.0,146.1187853045538,145.86066092812968,0.2581243764241208,0.08867240263468572,0.3389039475788701,80.18575851393224,80.18575851393224,82.17174747337442,79.58250675394281,87.35022891223767,-2657432.0,3.748583809027006,3.748583809027006,0.0007342143906021725,0.023570403771264514
2018-05-08,0.029,5.632,38.624,1.774,1.363,149.93,4667666.0,0.0,147.04511098280727,146.6757170883412,0.3693938944660715,0.16476353473400746,0.4092607194641281,90.41916167664688,90.41916167664688,84.48596110600306,81.37429533672574,90.7092926445577,4187182.0,5.224586787508063,5.224586787508063,0.017875008337224108,0.0007342143906021725
2018-05-09,0.029,5.632,38.624,1.774,1.363,152.61,3910569.0,0.0,148.28689649693283,147.73109854167257,0.5557979552602603,0.263723914720122,0.5841480810802766,90.57437407952891,90.57437407952891,88.25509923439327,83.81048088378725,97.14433593560534,8039021.0,2.8539865582955652,2.8539865582955652,0.008911604744118895,0.017875008337224108
2018-05-10,0.029,5.632,38.624,1.774,1.363,153.97,3507801.0,0.0,149.47287260374543,148.73634015614184,0.7365324476035937,0.37734869633845186,0.7183675025302837,93.24181626187976,93.24181626187976,89.37994790193899,85.7423483490843,96.6551470076484,12706687.0,3.4038286970753795,3.4038286970753795,0.005780346820809301,0.008911604744118895
2018-05-11,0.029,5.632,38.624,1.774,1.363,154.86,3563273.0,0.0,150.53863814661045,149.64400097732056,0.8946371692898936,0.49684489987158253,0.7955845388366221,94.09048938134822,94.09048938134822,89.55349155013714,87.04665749008413,94.56715967024314,16617256.0,3.864486255436676,3.864486255436676,0.0027121270825261057,0.005780346820809301
2018-05-14,0.029,5.632,38.624,1.774,1.363,155.28,4125647.0,0.0,151.43712437512403,150.42171398903088,1.0154103860931514,0.6130336714703772,0.8047534292455483,99.28315412186369,94.5392491467578,90.43301844988122,88.19536481919548,94.9083257112527,20125057.0,4.277698512751996,4.277698512751996,-0.017323544564657345,0.0027121270825261057
2018-05-15,0.029,5.632,38.624,1.774,1.363,152.59,2693205.0,0.0,151.64807281668163,150.70294137156756,0.9451314451140718,0.6856947667581682,0.5188733567118071,100.0,94.72817133443174,86.1309999056865,87.49919474524992,83.39461022655962,23688330.0,3.013001088996982,3.013001088996982,0.007929746379186087,-0.017323544564657345
2018-05-16,0.029,5.632,38.624,1.774,1.363,153.8,2869699.0,8.170000000000016,152.0306784054009,151.0834638226008,0.9472145828000862,0.7418582555263709,0.41071265454743067,76.81034482758622,77.54551584625767,84.49537705378563,86.49014508593805,80.50584098948079,19562683.0,1.935341848342152,2.2446389923316956,-0.0007152145643694041,0.007929746379186087
