,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,-0.01,4.616,-169.733,4.43,2.344,44.44,19504140.0,0.0,44.35743648960739,44.36718087727944,-0.009744387672050436,-0.01112895249274831,0.0027691296413957477,0.0,0.0,49.73416149068321,54.54294867603782,40.116587119974,-6736038.0,0.7145935510539514,0.7145935510539514,0.01935193519351941,0.013223894208846287
2018-05-04,-0.01,4.616,-169.733,4.43,2.344,45.3,17822387.0,0.0,44.65496695402298,44.627956340188604,0.02701061383437775,0.0017909547996385652,0.05043931806947837,37.41935483870964,37.41935483870964,66.58095714332094,59.543352193216954,80.65616704352892,17014169.0,1.7208916511542753,1.7208916511542753,0.009492273730684397,0.01935193519351941
2018-05-07,-0.01,4.616,-169.733,4.43,2.344,45.73,20285300.0,0.0,44.94704959047193,44.88352481038696,0.06352478008496831,0.020155372126307334,0.08673881591732197,59.75103734439833,59.75103734439833,75.36126802669058,65.6156326790528,94.85253872196614,36518309.0,2.547283565384359,2.547283565384359,-0.0004373496610539096,0.009492273730684397
2018-05-08,-0.01,4.616,-169.733,4.43,2.344,45.71,20438258.0,0.0,45.13248667865914,45.049061199136816,0.08342547952232593,0.03730508898054951,0.09224078108355284,65.84507042253522,65.84507042253522,80.2251439582909,70.95414582319545,98.7671402284818,54340696.0,3.3024194754567517,3.3024194754567517,0.007219426821264419,-0.0004373496610539096
2018-05-09,-0.01,4.616,-169.733,4.43,2.344,46.04,18469391.0,0.0,45.33499510116952,45.22529452797976,0.10970057318975535,0.0556264546981252,0.10814823698326029,65.38461538461547,65.38461538461547,86.42791673738282,76.43271745818457,106.41831529577931,34055396.0,1.7759815682424502,1.7759815682424502,0.005647263249348278,0.007219426821264419
2018-05-10,-0.01,4.616,-169.733,4.43,2.344,46.3,17551533.0,0.0,45.536376749832506,45.3984562089245,0.13792054090800576,0.07540327115499368,0.12503453950602417,68.96551724137939,68.96551724137939,90.30693837411172,81.24523468945065,108.43034574343386,54493654.0,2.241684903331662,2.241684903331662,-0.0079913606911447,0.005647263249348278
2018-05-11,-0.01,4.616,-169.733,4.43,2.344,45.93,22037655.0,0.0,45.61424943893778,45.47724266770927,0.13700677122851346,0.08963398528851656,0.0947455718799938,71.30434782608701,71.30434782608701,88.48487457306409,83.72289768441117,98.00882835036995,72963045.0,2.6625259058166426,2.6625259058166426,-0.005007620291748283,-0.0079913606911447
2018-05-14,-0.01,4.616,-169.733,4.43,2.344,45.7,24753573.0,0.0,45.630499136932606,45.5079810115378,0.12251812539480511,0.09700194159403863,0.05103236760153296,86.31578947368438,64.39790575916237,84.63417462097603,84.03201726980377,85.83848932332054,55411512.0,1.9019036385960277,1.9019036385960277,-0.004814004376367698,-0.005007620291748283
2018-05-15,-0.01,4.616,-169.733,4.43,2.344,45.48,31253656.0,0.0,45.60296142366444,45.50435186547695,0.09860955818749062,0.09735367891886747,0.002511758537246306,75.20000000000024,60.74074074074084,79.57245557205562,82.52811000197055,73.66114671222576,33373857.0,1.3998015838075712,1.3998015838075712,-0.0070360598065083435,-0.004814004376367698
2018-05-16,-0.01,4.616,-169.733,4.43,2.344,45.16,48210381.0,0.6499999999999986,45.52420433671705,45.462042813053394,0.06216152366365435,0.08979587987205183,-0.05526871241679496,54.83870967741936,57.6112412177986,69.97840764474618,78.31238381991663,53.31045529440527,8620284.0,1.4942963400879654,1.6963366139150091,-0.03764393268379085,-0.0070360598065083435
