,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.119,3.345,13.164,2.654,0.852,98.76,9978020.0,0.0,99.40729792147806,99.44654509610646,-0.03924717462840022,-0.019321561690913137,-0.03985122587497416,0.0,0.0,42.42549833873971,48.89933132426306,29.477832367692997,-2570527.0,0.0,0.0,0.024200081004455143,-0.008632804657699222
2018-05-04,0.119,3.345,13.164,2.654,0.852,101.15,10181123.0,0.0,99.95740086206897,99.92275664697193,0.03464421509703186,-0.001040471993099794,0.0713693741802633,0.0,0.0,64.07738418914553,55.20406097582963,81.82403061577735,-13019463.0,0.0,0.0,0.01314878892733562,0.024200081004455143
2018-05-07,0.119,3.345,13.164,2.654,0.852,102.48,14181003.0,0.0,100.6427820321344,100.51579192814233,0.1269901039920711,0.03704572981115142,0.17988874836183938,64.76964769647702,64.76964769647702,76.33203765208016,63.31480083732864,102.36651128158321,-3041443.0,0.37724173029221203,0.37724173029221203,-0.006733021077283352,0.01314878892733562
2018-05-08,0.119,3.36,13.224,2.666,0.852,101.79,18341826.0,0.0,100.92161635323875,100.77100564221642,0.15061071102232404,0.06782815381018989,0.1655651144242683,74.10358565737056,74.10358565737056,78.47627051004184,68.8550070485607,97.71879743300414,7139680.0,0.7621622312370725,0.7621622312370725,-0.017879948914431787,-0.006733021077283352
2018-05-09,0.119,3.36,13.224,2.666,0.852,99.97,8924851.0,0.0,100.7092664934651,100.62855094105142,0.08071555241367889,0.07108961059222316,0.01925188364291147,65.14886164623472,65.14886164623472,66.90706157278075,68.16532649885522,64.3905317206318,-7041323.0,1.298307288973883,1.298307288973883,0.017105131539461915,-0.017879948914431787
2018-05-10,0.119,3.36,13.224,2.666,0.852,101.68,7034371.0,0.0,100.91184361426035,100.79796543759535,0.113878176664997,0.08137250765867404,0.06501133801264591,49.40239043824699,49.40239043824699,71.44857724928012,69.3041796933325,75.73737236117537,-25383149.0,0.7666620757928193,0.7666620757928193,0.003835562549173721,0.017105131539461915
2018-05-11,0.119,3.36,13.224,2.666,0.852,102.07,9891707.0,0.0,101.14096816958988,100.98650888463837,0.15445928495151406,0.09825591579869196,0.11240673830564421,58.766233766233775,58.766233766233775,77.0446173446049,71.95323354706983,87.22738493967506,-16458298.0,0.9659141347037401,0.9659141347037401,0.00362496326050743,0.003835562549173721
2018-05-14,0.119,3.36,13.224,2.666,0.852,102.44,5755443.0,0.0,101.38713419659115,101.18707651218288,0.20005768440826444,0.12106542155179388,0.1579845257129411,63.329706202393844,60.43613707165105,78.70104008198123,74.24219651176885,87.618727222406,-9423927.0,1.1229602192706727,1.1229602192706727,0.004685669660289049,0.00362496326050743
2018-05-15,0.119,3.36,13.224,2.666,0.852,102.92,8108443.0,0.0,101.66761167860989,101.41183723754371,0.25577444106617975,0.1505389853028152,0.2104709115267291,71.14942528735627,61.89999999999998,82.57525956454093,77.0523726989723,93.62103329567816,467780.0,1.1229602192706727,1.1229602192706727,0.020598523124757184,0.004685669660289049
2018-05-16,0.119,3.36,13.224,2.666,0.852,105.04,7319826.0,2.8599999999999994,102.26721125107578,101.8576141997371,0.40959705133867885,0.2061737934115263,0.4068465158543051,63.03387334315165,63.64503816793893,88.42862025615699,80.87390912391726,103.53804252063645,6223223.0,1.4721619036358518,1.2514535540831468,-0.006664127951256704,0.020598523124757184
