,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.089,3.502,22.155,3.838,1.585,52.28,25642474.0,0.0,52.583325635103925,52.613415475603745,-0.03008984049981933,-0.019835054429309287,-0.020509572141020088,0.0,0.0,56.9053237783888,67.433622268232,35.84872679870239,1822430.0,1.0706962065189023,1.0706962065189023,0.009563886763580776,-0.0005735041101128102
2018-05-04,0.089,3.502,22.155,3.838,1.585,52.78,20285746.0,0.0,52.645408045977014,52.65998522895126,-0.01457718297424293,-0.018053932662687892,0.006953499376889924,0.0,0.0,63.82081102772176,65.93291606063543,59.59660096189441,-26738537.0,2.1786411050398615,2.1786411050398615,0.010420613868889594,0.009563886763580776
2018-05-07,0.089,3.502,22.155,3.838,1.585,53.33,21026793.0,0.0,52.831409233169396,52.815364417899666,0.016044815269729895,-0.007910326066894883,0.04791028267324955,32.258064516129096,32.258064516129096,73.98967636338197,69.02579560813528,83.91743787387534,-1096063.0,3.173371019253072,3.173371019253072,0.005625351584474192,0.010420613868889594
2018-05-08,0.089,3.502,22.155,3.838,1.585,53.63,19827532.0,0.0,53.02550880321335,52.97852942769404,0.04697937551930664,0.006967834871337379,0.08002308129593853,50.0,50.0,83.49420063961983,74.31274661964017,101.85710867957917,19189683.0,3.9603012654660925,3.9603012654660925,0.013238858847659962,0.005625351584474192
2018-05-09,0.089,3.502,22.155,3.838,1.585,54.34,18715910.0,0.0,53.31883291472253,53.2206599113023,0.09817300342022861,0.030049429898570908,0.13624714704331542,56.250000000000085,56.250000000000085,89.02298466554744,79.52098534497597,108.0269833066904,40216476.0,4.775978411012537,4.775978411012537,0.011777695988222092,0.013238858847659962
2018-05-10,0.089,3.502,22.155,3.838,1.585,54.98,15405004.0,0.0,53.665492881675334,53.504133193093345,0.1613596885819888,0.061605754350158075,0.19950786846366142,66.23794212218658,66.23794212218658,92.65712146752168,84.07748490088517,109.8163946007947,60044008.0,5.545133493529914,5.545133493529914,-0.005638413968715783,0.011777695988222092
2018-05-11,0.089,3.502,22.155,3.838,1.585,54.67,21878199.0,0.0,53.86422014307579,53.676940248077514,0.18727989499827657,0.09063710431250022,0.19328558137155272,72.00000000000001,72.00000000000001,90.92280023869873,86.42019597132463,99.92800877344689,78759918.0,6.271166229244969,6.271166229244969,0.00420706054508857,-0.005638413968715783
2018-05-14,0.089,3.502,22.155,3.838,1.585,54.9,21712649.0,0.0,54.060500023412885,53.84571059018398,0.21478943322890842,0.11845443302257858,0.1926700004126597,88.8157894736843,66.50246305418727,91.28106731173483,88.06908060024827,97.70504073470795,63354914.0,6.868761387472453,6.868761387472453,-0.01785063752276861,0.00420706054508857
2018-05-15,0.089,3.502,22.155,3.838,1.585,53.92,16260459.0,0.0,54.034791906823166,53.85534595017204,0.17944595665112928,0.1317990298908383,0.09529385352058195,90.43209876543222,68.29836829836836,83.72208881436156,86.60313551795296,77.95999540717875,85233113.0,7.717466509076927,7.717466509076927,0.01335311572700304,-0.01785063752276861
2018-05-16,0.089,3.502,22.155,3.838,1.585,54.64,16872598.0,0.5900000000000034,54.14239591897683,53.95175306352553,0.19064285545130133,0.14443621580646854,0.09241327928966558,65.32258064516137,55.59772296015185,84.43590480673203,85.8751141679816,81.55748608423289,63520464.0,3.6078985066994935,4.189077495710396,0.0031112737920937494,0.01335311572700304
