,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.114,11.909,31.599,4.053,1.654,195.68,3071746.0,0.0,195.10586605080832,195.08413997042877,0.02172608037955115,0.005078994691076353,0.033294171376949594,0.0,0.0,76.00887346287492,77.08277153523888,73.86107731814698,692887.0,1.172464759056312,1.172464759056312,0.018806214227309992,0.006066838046272505
2018-05-04,0.114,11.909,31.599,4.053,1.654,199.36,2863388.0,0.0,196.44872988505747,196.2794835814112,0.16924630364627546,0.06069122672197035,0.2171101538486102,69.41176470588206,69.41176470588206,83.1860734481308,79.61798925290168,90.32224183858904,4118759.0,2.0251899350774614,2.0251899350774614,0.004514446227929181,0.018806214227309992
2018-05-07,0.114,11.909,31.599,4.053,1.654,200.26,3273449.0,0.0,197.48423835389693,197.2025817569157,0.2816565969812359,0.12642342872674947,0.3104663365089729,90.33457249070618,90.33457249070618,86.66920426804859,82.32485378478272,95.35790523458033,7190505.0,2.7897704998336055,2.7897704998336055,0.007390392489763364,0.004514446227929181
2018-05-08,0.114,10.911,28.951,3.714,1.654,201.74,3361205.0,0.0,198.5186123286882,198.11139044185583,0.40722188683236027,0.20253542296562824,0.40937292773346406,91.71974522292977,91.71974522292977,90.27332522861695,85.22933282365749,100.36131003853589,10053893.0,3.502489199282051,3.502489199282051,0.00832755031228305,0.007390392489763364
2018-05-09,0.114,10.911,28.951,3.714,1.654,203.42,2700832.0,0.0,199.61233983889448,199.05549913266933,0.5568407062251595,0.2922006381537557,0.5292801361428076,93.29896907216482,93.29896907216482,90.22717036086556,86.99884402551504,96.68382303156659,13327342.0,4.317275150047653,4.317275150047653,0.00791465932553348,0.00832755031228305
2018-05-10,0.114,10.911,28.951,3.714,1.654,205.03,3155368.0,0.0,200.74292201154609,200.01813926052506,0.7247827510210243,0.3961582545841958,0.657248992873657,94.4915254237287,94.4915254237287,92.03373395752958,88.74528403841207,98.61063379576458,16688547.0,5.1539042258765715,5.1539042258765715,0.0006340535531386138,0.00791465932553348
2018-05-11,0.114,10.911,28.951,3.714,1.654,205.16,3385879.0,0.0,201.61677725460467,200.7802759010603,0.8365013535443779,0.49787969499737667,0.6772433170940025,95.29411764705874,95.29411764705874,93.5103373501267,90.37605524378267,99.77890156281478,19389379.0,5.826161520545944,5.826161520545944,0.002924546695262098,0.0006340535531386138
2018-05-14,0.114,10.911,28.951,3.714,1.654,205.76,2259083.0,0.0,202.40191635461673,201.46742936061352,0.9344869940032083,0.5957050749936077,0.6775638380192013,100.0,95.34883720930225,95.01793951758088,91.95065598762015,101.15250657750235,22544747.0,6.611556226831381,6.611556226831381,-0.01628110419906681,0.002924546695262098
2018-05-15,0.114,10.911,28.951,3.714,1.654,202.41,2912830.0,0.0,202.40339546681142,201.5896810711488,0.8137143956626289,0.6434042686646674,0.3406202539959231,100.0,95.58573853989805,87.75610381969365,90.53611843478494,82.19607458951108,25930626.0,7.45432684589167,7.45432684589167,-0.010869028210068632,-0.01628110419906681
2018-05-16,0.114,10.911,28.951,3.714,1.654,200.21,2265759.0,7.389999999999986,202.01341695342165,201.4201655127354,0.5932514406862595,0.6326335445432973,-0.07876420771407577,65.64102564102559,74.42167878387306,75.51876086086833,85.49145158073948,55.57337942112602,23671543.0,4.020899557725152,4.771371784904025,0.0007492133260076361,-0.010869028210068632
2018-05-17,0.114,10.911,28.951,3.714,1.654,200.36,2925022.0,5.710000000000008,201.72632095785238,201.29596731414426,0.43035364370811635,0.5898240897077387,-0.3189408919992447,49.773755656108676,64.9740334679746,57.828640794192296,76.22289064396098,21.040141094654928,20758713.0,4.879768665868896,3.2589673833202566,-0.006987422639249341,0.0007492133260076361
2018-05-18,0.114,10.911,28.951,3.714,1.654,198.96,2126485.0,4.680000000000007,201.2553048224013,201.03361038496425,0.22169443743706552,0.5128110917853834,-0.5822333086966358,42.901234567901234,65.27459954233412,40.73365774355363,64.3524844169712,-6.50399560328151,23024472.0,4.655458434818993,3.505527739902301,0.014073180538801688,-0.006987422639249341
2018-05-21,0.114,10.911,28.951,3.714,1.654,201.76,2313924.0,-0.4000000000000057,201.33984990472902,201.11218794808545,0.2276619566435727,0.4537015320119456,-0.45207915073674576,26.3771186440679,60.434322033898304,41.6946374366603,56.78258168596455,11.5187489380518,20099450.0,2.594300188898639,2.659124460191975,-0.01382831086439329,0.014073180538801688
2018-05-22,0.114,10.911,28.951,3.714,1.654,198.97,2737706.0,1.5,200.94821352276085,200.88809749106179,0.06011603169906721,0.3727045701541132,-0.6251770769100919,34.619002822201224,65.5442804428044,30.062422253111585,47.86228126318236,-5.53729576702996,22225935.0,2.503290072107532,2.834656789570706,-0.001507764989696958,-0.01382831086439329
2018-05-23,0.114,10.911,28.951,3.714,1.654,198.67,2025679.0,-2.7700000000000102,200.57596873272666,200.66294122536382,-0.0869724926371589,0.2786512654558996,-0.7312475161861169,26.711813393528917,58.071107478545144,27.45809954279126,41.053977205362315,0.2663442176491486,19912011.0,1.6324808548458873,2.3800552326741897,0.0037247697186288953,-0.001507764989696958
2018-05-24,0.114,10.911,28.951,3.714,1.654,199.41,1686477.0,-4.75,200.3872589093058,200.53915284129727,-0.1518939319914523,0.1909625668041385,-0.6857129975911815,22.709776751347135,58.59793814432989,28.327084731297738,36.808807264406575,11.363639665080072,17174305.0,1.5725915604082237,2.5697992766496336,-0.0019056215836718016,0.0037247697186288953
2018-05-25,0.114,10.911,28.951,3.714,1.654,199.03,2346792.0,-5.6200000000000045,200.16933296590716,200.39364867011784,-0.2243157042106816,0.10669245226051163,-0.6620163129423864,35.54913294797687,57.83284334313312,28.02258061509607,33.878743316663446,16.31025521196132,19199984.0,1.5077407157276839,2.7101943830840476,-0.016530171330955135,-0.0019056215836718016
