,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.077,11.466,62.174,3.179,2.655,66.9,5131935.0,0.0,67.684480369515,67.72207984228685,-0.037599472771844944,-0.01423265487707471,-0.04673363578954047,100.0,100.0,50.8915687149081,69.88288769425807,12.90893075620815,10708620.0,inf,inf,0.017937219730941534,-0.019923820685613824
2018-05-04,0.077,11.466,62.174,3.179,2.655,68.1,5041336.0,0.0,67.81564367816091,67.82772980343142,-0.012086125270514003,-0.013505510701410515,0.0028387708617930232,10.526315789474323,10.526315789474323,61.33853247948456,66.33369398965985,51.34820945913398,4552771.0,1.7395845804534842,1.7395845804534842,0.018208516886931037,0.017937219730941534
2018-05-07,0.077,11.466,62.174,3.179,2.655,69.34,6534417.0,0.0,68.22980584279068,68.1784314995237,0.051374343266985534,0.005794779032167554,0.09115912846963596,50.0,50.0,75.14260807305244,69.71531503589112,85.9971941473751,9684706.0,2.5732526902463007,2.5732526902463007,-0.01269108739544289,0.018208516886931037
2018-05-08,0.077,11.466,62.174,3.179,2.655,68.46,7955462.0,0.0,68.28575513346215,68.2348274244593,0.05092770900284904,0.018028312396585942,0.0657987932125262,65.65656565656573,65.65656565656573,71.65034271297043,70.42240033744041,74.10622746403047,14726042.0,3.392203252548917,3.392203252548917,-0.007449605609114673,-0.01269108739544289
2018-05-09,0.077,11.466,62.174,3.179,2.655,67.95,4964939.0,0.0,68.21083255014764,68.18417234352543,0.02666020662221058,0.020212814547108042,0.012894784150205077,53.719008264462786,53.719008264462786,62.9961194085987,67.79308572008946,53.402186785617175,8191625.0,1.645504593835937,1.645504593835937,-0.00044150110375273943,-0.007449605609114673
2018-05-10,0.077,11.466,62.174,3.179,2.655,67.92,4145059.0,0.0,68.15014027956478,68.1416076332351,0.008532646329683757,0.017405850478848975,-0.017746408298330435,48.59813084112158,48.59813084112158,57.144465909983694,64.09942489142945,43.23454794709218,236163.0,1.0114388313165803,1.0114388313165803,0.0075088339222615375,-0.00044150110375273943
2018-05-11,0.077,11.466,62.174,3.179,2.655,68.43,3453656.0,0.0,68.20550649330666,68.18435371304912,0.02115278025753753,0.018271409846340517,0.005762740822394023,48.32713754646847,48.32713754646847,59.66333363825304,62.581236236059866,53.82752844263939,-4728776.0,0.8153591236026769,0.8153591236026769,0.005991524185298802,0.0075088339222615375
2018-05-14,0.077,11.466,62.174,3.179,2.655,68.84,5043120.0,0.0,68.3257427662327,68.27482651944766,0.050916246785035923,0.025585748350791908,0.05066099686848803,51.48342059336826,52.80135823429551,66.31737341511332,63.84859320452707,71.25493383628584,-583717.0,0.9772080516294246,0.9772080516294246,0.009587449157466565,0.005991524185298802
2018-05-15,0.077,11.466,62.174,3.179,2.655,69.5,9252122.0,0.0,68.54060352667038,68.4337319080108,0.10687161865958217,0.043370632312088424,0.12700197269498747,70.29288702928868,55.87301587301593,77.44204669829016,68.43274180248146,95.46065648990756,2869939.0,1.1120602989371577,1.1120602989371577,0.026474820143884914,0.009587449157466565
2018-05-16,0.077,11.466,62.174,3.179,2.655,71.34,6064739.0,1.4000000000000057,69.03832702960287,68.7908127354678,0.24751429413507253,0.08721212941706187,0.32060432943602135,66.50943396226418,60.05747126436785,83.80730981276905,73.59740364495349,104.22712214840016,7913059.0,1.1153932070570438,1.3089751235295823,-0.005606952621250438,0.026474820143884914
2018-05-17,0.077,11.466,62.174,3.179,2.655,70.94,5683030.0,3.0799999999999983,69.36852970083685,69.04258963585119,0.32594006498565875,0.13773525471776668,0.37640962053578414,70.66115702479337,68.40909090909093,84.42020958915292,77.22363805673366,98.81335265399142,17165181.0,1.2521043672935188,1.670235609248287,0.005356639413588882,-0.005606952621250438
2018-05-18,0.077,11.466,62.174,3.179,2.655,71.32,5480698.0,4.039999999999992,69.70080278583454,69.2983699226741,0.4024328631604419,0.19311019189902823,0.41864534252282737,78.44036697247712,65.43478260869564,87.5931485959156,80.69202247689195,101.3954008339629,11100442.0,1.2565746341129669,1.3504435586397852,0.0008412787436904434,0.005356639413588882
2018-05-21,0.077,11.466,62.174,3.179,2.655,71.38,5675253.0,3.219999999999999,69.98209706606036,69.52355130661772,0.458545759442643,0.24813325741845488,0.4208250040483762,89.83451536643011,66.80584551148223,89.46111103568315,83.62174247576546,101.13984815551854,16783472.0,1.2781696406407055,1.529858149253083,-0.0009806668534602103,0.0008412787436904434
2018-05-22,0.077,11.466,62.174,3.179,2.655,71.31,6806372.0,2.039999999999992,70.20154349581746,69.7104285152712,0.49111498054625713,0.29813708465469163,0.385955791783131,90.61032863849753,67.01244813278007,86.94077482147549,84.72977350047046,91.36277746348554,22264170.0,0.889572908351883,1.3041969631692278,0.00042069835927649457,-0.0009806668534602103
2018-05-23,0.077,11.466,62.174,3.179,2.655,71.34,5607451.0,2.8500000000000085,70.38755964317531,69.87584425180577,0.5117153913695347,0.34183677555595593,0.33975723162715754,87.69633507853403,66.52935118434607,84.67160907556848,84.71036566067038,84.5940959053647,16588917.0,0.9149299539290068,1.131387875476371,0.011774600504625754,0.00042069835927649457
2018-05-24,0.077,11.466,62.174,3.179,2.655,72.18,5889721.0,3.3900000000000006,70.67766270832163,70.1034907773831,0.5741719309385331,0.389156238291443,0.3700313852941802,86.3372093023256,66.07515657620041,88.98463056609339,86.13608532736517,94.6817210435498,23395289.0,1.5498032081939168,1.2902988340995127,0.0009697977279023995,0.011774600504625754
2018-05-25,0.077,11.466,62.174,3.179,2.655,72.25,5857914.0,4.260000000000005,70.93012234242721,70.31044532619963,0.619677016227584,0.4359345402572382,0.36748495194069153,87.01657458563541,79.13907284768213,84.79648297114488,85.68934968931048,83.0107495348137,29002740.0,2.322253637920432,1.421218127644193,-0.018408304498269912,0.0009697977279023995
2018-05-29,0.077,11.466,62.174,3.179,2.655,70.92,5799859.0,3.819999999999993,70.92850791026336,70.36793096501911,0.5605769452442502,0.46115377928468626,0.19884633191912782,74.59459459459458,76.16645649432536,67.72309794661618,79.69879757770427,43.77169868444,34892461.0,1.5510650589468098,1.2494120306615548,0.018471517202481635,-0.018408304498269912
2018-05-30,0.077,11.466,62.174,3.179,2.655,72.23,7856161.0,2.0799999999999983,71.13492006403624,70.54005554096071,0.594864523075529,0.4881448769785685,0.21343929219392088,49.640287769784244,59.850374064837894,64.75598023677746,74.71685965638574,44.834221397560896,29034547.0,1.1181901266296894,1.1153137639478574,-0.005953205039457399,0.018471517202481635
2018-05-31,0.083,11.794,59.868,3.18,2.506,71.8,4085765.0,2.730000000000004,71.2399007468718,70.65442124590318,0.5854795009686171,0.507756510087308,0.15544598176261815,62.26415094339639,72.30769230769239,58.093510280912966,69.17500248888196,35.93052586497498,34834406.0,1.1443131075062158,1.221579174639209,0.013370473537604566,-0.005953205039457399
2018-06-01,0.083,11.794,59.868,3.18,2.506,72.76,4582038.0,0.45999999999999375,71.47888733945581,70.84240686700308,0.6364804724527318,0.533654175393677,0.20565259411810954,55.147058823529434,72.99880525686973,64.11080664041681,67.48678677795706,57.35884636533632,26978245.0,0.6489353850044234,1.0678689295435857,0.014705882352941124,0.013370473537604566
2018-06-04,0.083,11.794,59.868,3.18,2.506,73.83,4928643.0,1.8200000000000074,71.84728191494462,71.10514344651494,0.7421384684296726,0.57554887613145,0.33317918459644513,64.58752515090542,76.02150537634407,75.6869618549579,70.22034085212836,86.62020386061698,31064010.0,0.9097108958666013,1.1333090670891766,0.002979818501964049,0.014705882352941124
