,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.082,3.43,18.708,2.838,0.91,71.36,8107113.0,0.0,71.38896073903003,71.40509610645638,-0.016135367426358016,-0.014116008087724452,-0.004038718677267128,0.0,0.0,32.08176203749232,32.646479290536334,30.95232753140428,-2726569.0,0.0,0.0,0.014994394618834228,0.005920496193966729
2018-05-04,0.082,3.43,18.708,2.838,0.91,72.43,6633579.0,0.0,71.71757614942528,71.69161444722191,0.025961702203375125,-0.0005395479620132146,0.05300250033077668,29.166666666666828,29.166666666666828,56.11812901532522,42.39624148391018,83.56190407815531,6659427.0,0.49572336744086903,0.49572336744086903,-0.006212895209167457,0.014994394618834228
2018-05-07,0.082,3.43,18.708,2.838,0.91,71.98,8083074.0,0.0,71.7888757717297,71.7584922463859,0.03038352534380806,0.008659367228914102,0.04344831622978791,59.36254980079705,59.36254980079705,53.84654896793011,46.791857153131104,67.95593259752812,14766540.0,0.923902258267548,0.923902258267548,-0.0075020839121978655,-0.006212895209167457
2018-05-08,0.082,3.43,18.708,2.838,0.91,71.44,7527735.0,0.0,71.70408060491323,71.69470078963784,0.009379815275394776,0.008854648705646874,0.0010503331394958043,50.33783783783801,50.33783783783801,44.589713273860255,45.987163976194545,41.79481186919169,8132961.0,0.6841926932446083,0.6841926932446083,0.013017917133258727,-0.0075020839121978655
2018-05-09,0.082,3.43,18.708,2.838,0.91,72.37,7616051.0,0.0,71.85267818805266,71.81479925354243,0.03787893451023194,0.016199921145300288,0.04335802672986331,42.57142857142866,42.57142857142866,52.1217952819619,48.15916311262213,60.047059620641434,49887.0,0.5198455052440087,0.5198455052440087,0.010777946662981819,0.013017917133258727
2018-05-10,0.082,3.43,18.708,2.838,0.91,73.15,7586044.0,0.0,72.12340925444728,72.0299331778358,0.09347607661148061,0.03477083448224905,0.11741048425846312,54.6275395033861,54.6275395033861,66.20410203266405,54.41836714404667,89.77557180989882,7577622.0,0.7435484047353461,0.7435484047353461,0.003007518796992459,0.010777946662981819
2018-05-11,0.082,3.43,18.708,2.838,0.91,73.37,8646856.0,0.0,72.37002927378973,72.2285604992831,0.14146877450662032,0.05941858795908883,0.16410037309506298,61.42034548944344,61.42034548944344,70.35685017490543,59.8730845383122,91.32438144809188,15193673.0,0.9698758048595401,0.9698758048595401,-0.001226659397573937,0.003007518796992459
2018-05-14,0.082,3.43,18.708,2.838,0.91,73.28,11502085.0,0.0,72.54246837275154,72.37364891704955,0.16881945570199264,0.08393073304515626,0.16977744531367275,77.55102040816318,62.98342541436469,72.15835964237753,64.04044463953267,88.39418964806725,22779717.0,0.7914538664114115,0.7914538664114115,-0.004503275109170257,-0.001226659397573937
2018-05-15,0.082,3.43,18.708,2.838,0.91,72.95,8324931.0,0.0,72.61703683425642,72.44840183509652,0.16863499915990587,0.10246354247630157,0.1323429133672086,73.52941176470576,61.956521739130444,70.00528452515067,66.05198000184689,77.91189357175824,14132861.0,0.6542624361582385,0.6542624361582385,0.007950651130911535,-0.004503275109170257
2018-05-16,0.082,3.43,18.708,2.838,0.91,73.53,8051427.0,0.9900000000000091,72.77935868799577,72.58129321176072,0.198065476235044,0.12299482845738742,0.15014129555531316,57.78443113772445,58.46153846153851,73.6751670564621,68.61277932138897,83.79994252660836,2630776.0,0.6125325842408149,0.5316704117646398,0.005847953216374213,0.007950651130911535
