,roa,pb,pe,ps,currentratio,Close,Volume,Momentum_10,12d_EMA,26d_EMA,dif,dea,MACD,RSI_7,RSI_15,K_9,D_9,J_9,OBV,VR_10,VR_30,Yesterday_Return,Daily_Return
2018-05-03,0.139,7.552,27.617,13.307,1.941,127.18,5797977.0,0.0,127.00801385681292,127.01551010349927,-0.007496246686343966,-0.011384548347706878,0.007776603322725825,0.0,0.0,62.72999708495541,68.7818862101165,50.62621883463322,-2108251.0,0.7524076894801063,0.7524076894801063,0.0077056140902656,0.006330115524608493
2018-05-04,0.139,7.552,27.617,13.307,1.941,128.16,5737264.0,0.0,127.37165086206896,127.33545946483353,0.0361913972354273,0.004731964383707137,0.06291886570344032,41.45077720207267,41.45077720207267,75.47706032696581,71.56295853557698,83.30526390974347,4669598.0,1.54839606764995,1.54839606764995,0.008583021223470544,0.0077056140902656
2018-05-07,0.139,7.552,27.617,13.307,1.941,129.26,5044563.0,0.0,127.88470857392909,127.78176835289645,0.10294022103263956,0.033946700416826014,0.13798704123162708,61.168384879724904,61.168384879724904,82.51367881379082,75.76678954285339,96.00745735566568,10467575.0,2.229308597406227,2.229308597406227,0.0049512610242923305,0.008583021223470544
2018-05-08,0.139,7.552,27.617,13.307,1.941,129.9,6119361.0,0.0,128.37453041455228,128.20603325740174,0.16849715715054003,0.07041735505234135,0.19615960419639736,71.82044887780528,71.82044887780528,88.35313116271334,80.36600911221575,104.32737526370852,16204839.0,2.9030910122242957,2.9030910122242957,0.0072363356428022385,0.0049512610242923305
2018-05-09,0.139,7.552,27.617,13.307,1.941,130.84,6585538.0,0.0,128.92469132652508,128.67447058845121,0.2502207380738639,0.11592079457731325,0.26859988699310133,75.6989247311827,75.6989247311827,91.47912992979433,84.3006691782744,105.83605143283415,21249402.0,3.4955228473014124,3.4955228473014124,0.001222867624579571,0.0072363356428022385
2018-05-10,0.139,7.552,27.617,13.307,1.941,131.0,5429497.0,0.0,129.35777625972645,129.04917099937705,0.3086052603493954,0.16222649513452653,0.29275753042973773,79.78533094812154,79.78533094812154,90.38778425145203,86.41209196416489,98.33916882602631,27368763.0,4.214178609302866,4.214178609302866,0.006259541984732664,0.001222867624579571
2018-05-11,0.139,7.552,27.617,13.307,1.941,131.82,5016805.0,0.0,129.84489175341838,129.45986868510394,0.3850230683144389,0.21369360883858543,0.3426589189517069,80.3478260869564,80.3478260869564,92.3121859806854,88.43131458387128,100.07392877431363,33954301.0,2.3763225678962114,2.3763225678962114,-0.004627522379001547,0.006259541984732664
2018-05-14,0.139,7.552,27.617,13.307,1.941,131.21,5530545.0,0.0,130.10357923560395,129.70136977307774,0.4022094625262014,0.2559321033948997,0.2925547182626034,100.0,82.80060882800596,88.8240243451858,88.56452796141465,89.34301711272809,39383798.0,2.7358788568467847,2.7358788568467847,-0.0008383507354623454,-0.004627522379001547
2018-05-15,0.139,7.552,27.617,13.307,1.941,131.1,5123733.0,0.0,130.28590021008682,129.88277255659625,0.40312765349057145,0.2881376486898688,0.2299800096014053,88.3809523809526,75.76601671309197,86.01580872750708,87.7050180724775,82.63739003756623,34366993.0,2.053613614077359,2.053613614077359,-0.0016018306636156332,-0.0008383507354623454
2018-05-16,0.139,7.552,27.617,13.307,1.941,130.89,4911305.0,3.589999999999989,130.3933071695586,130.00652631830852,0.3867808512500801,0.3093220716636214,0.15491755917291739,83.56164383561645,74.62277091906712,82.30229103398226,85.89012101895786,75.12663106403105,28836448.0,2.010058480357729,2.328527764065183,-0.007334402933760975,-0.0016018306636156332
